title,price
Apple iPhone 14 (128 GB) - Blue,"₹79,900"
Apple iPhone 12 (128GB) - Black,"₹64,900"
Apple iPhone 14 (128 GB) - Starlight,"₹79,900"
5s 16GB Original Smartphones Compatible Apple iPhone (Gold),"₹24,999"
Apple iPhone 14 Pro Max (128 GB) - Space Black,"₹1,39,900"
Apple iPhone 14 Pro Max (1 TB) - Silver,₹599
Apple iPhone 12 (256GB) - Black,"₹1,39,900"
Apple iPhone 12 (64GB) - Purple,"₹2,299"
Apple iPhone 14 (128 GB) - Blue,"₹1,29,900"
Apple iPhone 14 (128 GB) - Purple,"₹79,900"
Apple iPhone 14 Plus (128 GB) - Midnight,"₹1,499"
Apple iPhone 14 Plus (128 GB) - Starlight,"₹79,900"
Apple iPhone SE (64 GB) - Starlight (3rd Generation),"₹2,499"
Apple iPhone 14 Plus (128 GB) - Blue,"₹1,89,900"
Apple iPhone 14 Pro (128 GB) - Silver,"₹80,900"
Apple iPhone 12 (128GB) - Black,"₹59,900"
Apple iPhone 14 Plus (128 GB) - Purple,"₹79,900"
Apple iPhone 12 (64GB) - White,"₹79,900"
